"eventName","eventCount","totalUsers","totalRevenue"
"page_view","93723","29356","0"
"user_engagement","68751","14151","0"
"view_item","39585","15967","0"
"session_start","34732","29344","0"
"first_visit","27945","28268","0"
"scroll","18657","9047","0"
"view_promotion","17931","10806","0"
"view_search_results","5561","1446","0"
"form_start","5541","1326","0"
"form_submit","2692","862","0"
"set_checkout_option","1532","345","0"
"add_to_cart","1300","605","0"
"begin_checkout","617","325","0"
"select_promotion","478","370","0"
"checkout_progress","315","220","0"
"click","266","217","0"
"add_payment_info","245","170","0"
"remove_from_cart","221","95","0"
"purchase","146","140","47230.020026000006"
"add_shipping_info","118","101","0"
"add_to_wishlist","27","18","0"
