"searchTerm","eventCount","totalUsers"
"","314662","29423"
"calça","934","438"
"vestido","391","172"
"soft","233","133"
"camisa","153","65"
"montaria","121","12"
"Body","108","24"
"t-shirt","104","18"
"Calça","98","43"
"body","72","31"
"blusa","71","41"
"Blusa","69","12"
"Soft","66","35"
"Vestido","65","46"
"bombacha","65","30"
"cropped","65","22"
"Vestido ","60","33"
"1779","56","8"
"Fleece","54","40"
"Camisa","51","35"
"regata","51","15"
"vestidos","48","6"
"Calça ","47","24"
"Jaqueta","41","27"
"camisete","39","15"
"Saia","37","21"
"blusas","34","4"
"Regata","32","15"
"Calca","31","5"
"óculos","30","6"
"Cinto","29","21"
"T-SHIRT","28","4"
"colete","28","16"
"Bombacha","27","25"
"vestido ","26","5"
"Cropped ","25","4"
"camisas","25","5"
"cinto","25","18"
"t shirt","25","3"
"Casaco","23","15"
"kids","23","8"
"CALÇA","22","4"
"Colete","22","15"
"modeladora","22","5"
"saia","22","16"
"T-shirt","20","7"
"Blusas","17","2"
"emanuely","17","4"
"pulseira","17","5"
"Óculos","17","11"
"Flerte","16","9"
"body ","16","2"
"calça ","15","4"
"eliane","15","3"
"oculo","14","2"
"1260","13","5"
"Cropped","13","8"
"calça feminina","13","11"
"2148","12","5"
"Bombacha ","12","10"
"Calça jeans","12","5"
"boot cut","12","8"
"grazi","12","6"
"melissa","12","4"
"onix","12","6"
"Calças","11","3"
"colar","11","6"
"zoe","11","7"
"1752","10","4"
"Bota","10","9"
"Camiseta","10","9"
"Chemise","10","6"
"Fleece feminino ","10","1"
"Vestidos ","10","4"
"alice","10","5"
"bombacha ","10","2"
"bridão","10","5"
"óculo","10","8"
"2196","9","2"
"2234","9","3"
"2239","9","3"
"Colar","9","6"
"MELISSA","9","4"
"babado","9","4"
"sandra","9","5"
"1780","8","4"
"2243","8","3"
"Calça feminina","8","1"
"Casaco ","8","5"
"Vestidos","8","5"
"amarração","8","2"
"calças","8","3"
"corcel","8","3"
"marina","8","3"
"1991","7","3"
"2147","7","3"
"2149","7","4"
"Boot Cut","7","1"
"Calça jeans ","7","7"
"Camisete","7","4"
"Chamise","7","3"
"Cinto ","7","7"
"Fleece ","7","7"
"Lenço ","7","5"
"Regata ","7","4"
"VESTIDO","7","4"
"calça jeam","7","7"
"jaqueta","7","6"
"2117","6","1"
"2154","6","4"
"2224","6","5"
"2236","6","4"
"2252","6","2"
"2264","6","3"
"Blusa ","6","5"
"Body ","6","4"
"Bolsa","6","5"
"CAMISETE","6","3"
"Camisa ","6","5"
"Manta","6","4"
"Moletom","6","5"
"Saia ","6","4"
"ana","6","4"
"julia ","6","2"
"modal","6","3"
"pampa ","6","2"
"sof","6","2"
"vic","6","3"
"1186","5","2"
"1537","5","4"
"1681","5","3"
"1689","5","1"
"1860","5","3"
"1903","5","2"
"2023","5","2"
"2044","5","4"
"2118","5","3"
"2128","5","3"
"2160","5","3"
"2259","5","2"
"Bridao","5","2"
"CALÇA ","5","2"
"Camisa branca ","5","3"
"Force","5","3"
"Infantil ","5","5"
"Jaqueta ","5","5"
"Lenço","5","5"
"Mãe e filha","5","3"
"OLIVIA","5","3"
"bridao","5","2"
"camisete ","5","4"
"camisola","5","3"
"nubia","5","3"
"oculos","5","3"
"shorts","5","3"
"Óculos ","5","4"
"1527","4","2"
"1541","4","3"
"1880","4","1"
"1900","4","3"
"2031","4","2"
"2073","4","1"
"2101","4","2"
"2127","4","2"
"2146","4","2"
"2153","4","1"
"2197","4","3"
"2204","4","3"
"2228","4","2"
"2241","4","2"
"2246","4","3"
"2261","4","3"
"2262","4","2"
"2263","4","2"
"2301","4","3"
"ACESSÓRIOS","4","1"
"BRIDAO","4","3"
"Body manga comprida ","4","1"
"Bonbacha","4","1"
"Calça feminina ","4","1"
"Colar ","4","1"
"Colete ","4","4"
"Conjunto ","4","2"
"DANI","4","3"
"Jeans","4","4"
"SAIA","4","3"
"SAIA ","4","2"
"Soft ","4","4"
"Soft feminino ","4","1"
"Vestido longo","4","1"
"amarração ","4","2"
"brincos","4","1"
"camisetes","4","2"
"casaco ","4","3"
"courino","4","2"
"jaqueta ","4","1"
"joana","4","2"
"marcia","4","1"
"modeladora ","4","1"
"pulseiras","4","2"
"rose","4","2"
"ruana","4","2"
"saia ","4","3"
"sophia","4","3"
"top","4","1"
"wide","4","4"
"1127","3","2"
"1756","3","3"
"1888","3","3"
"1898","3","1"
"1902","3","1"
"1929","3","3"
"1964","3","1"
"2093","3","1"
"2097","3","3"
"2120","3","1"
"2121","3","2"
"2155","3","2"
"2158","3","2"
"2161","3","3"
"2200","3","1"
"2206","3","3"
"2240","3","3"
"2242","3","2"
"2251","3","1"
"2255","3","3"
"2256","3","1"
"2258","3","2"
"2260","3","3"
"2268","3","1"
"AMARRAÇÃO","3","1"
"ANDREZA","3","3"
"BRIDAO ","3","2"
"Bory","3","2"
"Bota ","3","2"
"Bridão","3","3"
"CABANA","3","1"
"Calça flare","3","3"
"Calças ","3","2"
"Camisa feminina ","3","3"
"Camiseti","3","1"
"Camisola","3","3"
"Casacos ","3","1"
"Cintos","3","3"
"Colares","3","1"
"Colete jeans","3","2"
"Corcel","3","2"
"Flecee","3","1"
"Flesce","3","1"
"LINHO","3","1"
"Legging","3","1"
"Linho","3","1"
"MARINA ","3","2"
"Michele","3","1"
"Oculos","3","3"
"Pulseiras","3","2"
"Tshirt","3","2"
"Térmica ","3","1"
"VESTIDO ","3","1"
"Valca flate","3","1"
"ZOE","3","2"
"alice ","3","1"
"alicia","3","2"
"aurora","3","1"
"brenda","3","3"
"calca","3","3"
"calça jeans","3","3"
"camisete ana","3","2"
"camisete cabana","3","2"
"casaco","3","2"
"chemise","3","2"
"colete ","3","1"
"corcel ","3","1"
"gateado","3","1"
"geovanna","3","2"
"maitê","3","1"
"pezinho","3","3"
"realeza","3","1"
"regata ","3","2"
"texas","3","2"
"vestido suzy","3","1"
"ônix","3","2"
"1498","2","2"
"1535","2","1"
"1752P","2","1"
"177936","2","1"
"1814","2","1"
"1831","2","2"
"1873","2","1"
"1912","2","1"
"1914","2","1"
"1923","2","2"
"1926","2","2"
"1944","2","1"
"1983","2","2"
"1990","2","1"
"2024","2","2"
"2037","2","2"
"2046","2","1"
"2048","2","2"
"2050","2","2"
"2109U","2","1"
"2125","2","2"
"2131","2","2"
"2136","2","2"
"2157","2","2"
"2227","2","2"
"2237","2","2"
"2244","2","2"
"2245","2","2"
"2247","2","2"
"2288","2","2"
"2289","2","1"
"2295","2","1"
"2296","2","1"
"Ana","2","1"
"BABADO ","2","1"
"BLUSA","2","2"
"BLUSA ","2","1"
"BODY","2","1"
"BOMBACHAS","2","1"
"Blusa Melissa","2","2"
"Blusa de frio","2","2"
"Blusa feminina","2","1"
"Blusa sem manga ","2","1"
"Botas ","2","1"
"Botina","2","1"
"CAVALGADA ","2","2"
"COLETE","2","1"
"CORSEL","2","1"
"CROPPED","2","2"
"Cabana","2","2"
"Calca flare","2","1"
"Calca isling","2","1"
"Calça boot cut","2","2"
"Calça montaria","2","2"
"Calça vermelha","2","1"
"Calças jeans","2","2"
"Camuseti","2","1"
"Casaco soft","2","2"
"Chamise bridao","2","1"
"Chemise ","2","1"
"Choker","2","1"
"Cinto feminino ","2","2"
"Colete franja","2","1"
"Colete linho","2","1"
"Conjunto","2","1"
"Conjunto bombacha e colete","2","1"
"Couro","2","2"
"Croped","2","1"
"EMANUELY","2","1"
"Flace","2","1"
"Flees","2","1"
"Foste","2","1"
"GATEADO","2","2"
"Grazi","2","2"
"JAQUETA","2","2"
"JAQUETA ","2","1"
"Jaqueta jeans","2","2"
"Jaqueta jeans ","2","2"
"Joana ","2","1"
"LUANA","2","1"
"Lenco","2","1"
"Linho ","2","1"
"MARINA","2","2"
"MONTARIA","2","2"
"MONTARIA ","2","1"
"Marina","2","1"
"Modeladora ","2","2"
"Monica","2","1"
"Nubia","2","1"
"ONIX","2","2"
"PAMPA","2","1"
"POTROS","2","1"
"PRIMEIRA10","2","2"
"Poncho","2","2"
"Pulseira","2","1"
"Pulseira ","2","1"
"REBECA","2","1"
"REGATA ","2","2"
"RODEIO ","2","2"
"ROSE","2","2"
"RUANA","2","1"
"Regatas","2","2"
"Rodeio","2","1"
"Rua a","2","1"
"SOBRE","2","1"
"SOFT","2","2"
"Salmão","2","1"
"Sandra","2","1"
"Short","2","2"
"Sofy","2","1"
"Suede","2","1"
"T-shirt ","2","1"
"Tule","2","1"
"Vestido longo ","2","1"
"Vestido longo cavalos chic ","2","1"
"WIDE","2","2"
"Zoe","2","2"
"andreza","2","2"
"basic","2","1"
"blusa courino","2","1"
