"itemCategory","itemCategory2","itemCategory3","itemsViewed","itemsAddedToCart","itemsPurchased","itemRevenue"
"Lançamentos","(not set)","(not set)","16222","619","102","22969.300001999996"
"Feminino","Calça","(not set)","7133","302","57","16178.900022000002"
"Outlet","(not set)","(not set)","6737","163","23","3682.599999"
"Mais Vendidos","(not set)","(not set)","3173","84","8","2461.600001"
"Feminino","Camisete","(not set)","675","27","5","1458.500002"
"Acessórios","(not set)","(not set)","765","6","3","863.0999959999999"
"Acessórios","Semi-Jóias","Colar","359","14","7","789.299994"
"Feminino","(not set)","(not set)","892","29","5","697.299994"
"Feminino","Saia","(not set)","329","7","2","535.400003"
"Acessórios","Semi-Jóias","Pulseira","295","15","4","399.599997"
"Feminino","Vestido","(not set)","304","5","1","347.699999"
"Feminino","Blusas","(not set)","298","10","2","227.499997"
"Acessórios","Semi-Jóias","(not set)","239","6","2","199.799999"
"Feminino","Regata","(not set)","172","5","1","157.700002"
"Feminino","Jaqueta","(not set)","654","5","0","0"
"Feminino","Blusas","Manga curta","554","18","0","0"
"Feminino","Body","(not set)","305","9","0","0"
"Verão 2024","(not set)","(not set)","283","8","0","0"
"Feminino","Colete","(not set)","141","0","0","0"
"Acessórios","Cinto","(not set)","21","0","0","0"
"Mãe e Filha","Cabana Kids","(not set)","20","0","0","0"
"Acessórios","Bolsas","(not set)","14","0","0","0"
"Acessórios,Semi-Jóias,Colar","(not set)","(not set)","0","4","0","0"
