"itemName","itemId","itemCategory","itemsViewed","itemsAddedToCart","itemsPurchased","itemRevenue"
"Calça Feminina  Boot Cut Corcel","1779","Feminino","2982","214","48","13809.600016999999"
"Casaco Feminino Soft Lize","2128","Lançamentos","336","22","8","2061.600001"
"Vestido Feminino Babado Alice","2236","Lançamentos","347","17","5","1738.500006"
"Camisete Feminina Sandra","2044","Feminino","207","20","4","1190.8000009999998"
"Vestido Feminino Emanuely","2201","Lançamentos","247","14","3","1043.1"
"Calça Feminina Boot Cut Paty","1914","Feminino","618","16","4","1030.799998"
"Casaco Masculino Soft Márcio","2249","Lançamentos","67","5","3","863.1000019999999"
"Casaco Feminino Soft Alongado Ayla","2097","Lançamentos","202","13","3","863.100001"
"T-Shirt Cavalgada","2160","Lançamentos","150","6","5","788.500001"
"Calça Feminina Skinny Júlia","2048","Feminino","823","16","3","773.100003"
"Calça Boot Cut Feminina Emanuely","2227","Lançamentos","459","17","3","773.0999979999999"
"Vestido Feminino Querência","1569","Mais Vendidos","245","8","2","695.400002"
"Vestido Feminino Sophia","2209","Lançamentos","243","10","2","695.399998"
"Regata Feminina Modeladora Zoe","2145","Lançamentos","158","7","4","670.799996"
"Vestido Feminio Eliane","2241","Lançamentos","299","5","2","645.400003"
"Jaqueta Feminina Max Ônix","1780","Mais Vendidos","392","16","2","635.399997"
"T-Shirt Feminina Alice","2239","Lançamentos","247","20","4","630.799997"
"Calça Feminina Boot Cut Bridão","2149","Lançamentos","590","15","2","575.4"
"Calça Feminina Boot Cut Dani","2092","Lançamentos","361","13","2","575.399999"
"Blusa Feminina Babado Núbia","2204","Lançamentos","108","11","3","539.699996"
"Vestido Moletom Feminino Rafaela","2053","Outlet","259","9","3","539.400005"
"Saia Feminina Longa Marina","2078","Feminino","150","5","2","535.400003"
"Casaco Feminino Soft Laís","2113","Lançamentos","266","10","2","515.400003"
"Calça Jeans Feminina Boot Cut Cabana","1186","Mais Vendidos","955","16","2","515.399999"
"Camisete Feminina Zoe","2199","Lançamentos","166","4","2","495.399997"
"Blusa Feminina Grazi","2231","Lançamentos","214","16","3","473.099994"
"Vestido/ Camisola Feminina Cabana","2147","Feminino","259","17","3","449.69999500000006"
"Vestido Feminino Over Bridão ","2057","Outlet","253","4","2","399.599999"
"Calça Feminina Boot Cut Pandora","1406","Outlet","272","5","2","399.599998"
"Vestido Feminino Modal Lia","1991","Lançamentos","59","2","2","395.400004"
"Blusa Feminina Melissa","2031","Lançamentos","200","11","2","375.4"
"Vestido  Feminino Chloe","2237","Lançamentos","113","2","1","367.700002"
"Vestido Feminino Tropilha","1654","Mais Vendidos","256","3","1","347.700001"
"Vestido Feminino Gabriella","1900","Feminino","134","2","1","347.699999"
"Blusa Feminina Emanuely","2230","Lançamentos","144","7","2","315.40000299999997"
"T-shirt Feminina Texas Print Brown","2293","Lançamentos","62","36","2","315.400001"
"Calça Feminina Pezinho Rebeca","1912","Outlet","164","5","2","310.8"
"Vestido Feminino Modal Lia Pantone","2002","Outlet","47","7","2","310.799999"
"Bombacha Feminina Xadrez Valentina","2297","Lançamentos","95","2","1","297.700002"
"Bombacha Feminina Xadrez Joana","2093","Lançamentos","176","1","1","297.699999"
"Casaco Soft Masculino Ivan","2248","Lançamentos","85","6","1","287.700002"
"Calça Jeans Feminina Boot Cut Morgan ","1260","Feminino","463","10","1","287.700001"
"Calça Feminia Wide Leg Cabana Leo","2200","Lançamentos","266","4","1","287.7"
"Óculos Cabana Larissa","2181","Acessórios","22","2","1","287.7"
"Óculos Cabana Jaque","2165","Acessórios","11","0","1","287.7"
"Calça Feminina Boot Cut Mônica","2207","Lançamentos","491","12","1","287.699998"
"Casaco Feminino Soft Clara","2124","Lançamentos","266","3","1","287.699998"
"Óculos Cabana Isadora","2177","Acessórios","50","0","1","287.699997"
"Calça Feminina Skinny Délavé Pampa","2081","Feminino","421","15","1","277.700003"
"Blusa Feminina Amarração Olivia","2224","Lançamentos","194","7","1","277.700002"
"Blusa Amarração Grazi","2202","Lançamentos","197","10","1","277.699999"
"Saia Feminina Courino Off White","2152","Lançamentos","151","0","1","277.699999"
"Chemise Feminina Bridão","1752","Mais Vendidos","314","13","1","267.700002"
"Camisa Cropped Feminino Cabana","2264","Lançamentos","217","4","1","267.700001"
"Chemise Feminina Bridão","1944","Feminino","173","5","1","267.700001"
"Colete Feminino Alfaiataria Adriela","2191","Lançamentos","97","2","1","259.8"
"Casaco Soft Meio Zíper Luna","2125","Lançamentos","145","6","1","257.700002"
"Saia Feminina Courino Cabana","1902","Outlet","102","4","1","237.700003"
"Colar Feminino Choker Cabana","2073","Acessórios","80","6","2","199.8"
"Vestido Feminino Realeza ","1990","Outlet","268","10","1","199.799999"
"Pulseira Feminina Bridão Cabana","2071","Acessórios","239","6","2","199.799999"
"Jaqueta Feminina Bomber Sofia","2098","Outlet","186","5","1","199.799999"
"Vestido Feminino Angélica","1853","Outlet","156","4","1","199.799999"
"Pulseira Feminina Laços Cabana ","1965","Acessórios","70","11","2","199.79999800000002"
"Body Feminino Realeza","1541","Lançamentos","135","9","1","197.700001"
"Body Feminino Núbia ML","2119","Lançamentos","73","3","1","197.7"
"Body Feminino Suzy","2123","Lançamentos","42","1","1","197.7"
"Body Feminino Gateado","2117","Lançamentos","86","2","1","197.699999"
"Body Feminino Roberta","2116","Lançamentos","83","1","1","197.699999"
"Body Feminino Emanuely","2258","Lançamentos","75","6","1","187.700003"
"Body Feminino Rose","2255","Lançamentos","65","5","1","187.700003"
"Blusa Courino Cabana Black","2141","Lançamentos","164","4","1","187.699999"
"Blusa Feminina Tropilha","1875","Outlet","174","5","1","175.400001"
"Colete Xadrez Valentina","2296","Lançamentos","38","1","1","169.900001"
"Blusa Feminina Vic","2206","Lançamentos","82","5","1","169.9"
"T-Shirt Feminina Carolina","2154","Lançamentos","74","4","1","157.700002"
"Cropped Feminino Realeza","1712","Feminino","52","3","1","157.700002"
"T-Shirt Feminina Bridão Júlia","2196","Lançamentos","98","7","1","157.700001"
"T-Shirt Feminina Andreza","2242","Lançamentos","183","15","1","157.7"
"Blusa Feminina Realeza","2228","Lançamentos","116","10","1","157.7"
"Blusa Feminina Zoe","2146","Lançamentos","90","11","1","157.7"
"T-Shirt Feminina Bridão Gabi","2197","Lançamentos","67","4","1","157.7"
"T-Shirt Feminina Texas Print black","2292","Lançamentos","53","31","1","157.7"
"T-Shirt Feminina Valentina","2245","Lançamentos","117","5","1","157.699999"
"Cropped Feminino Rebeca","2129","Lançamentos","54","2","1","157.699998"
"Vestido Feminino Letícia","1982","Outlet","62","3","1","155.399998"
"Blusa Feminina Suzy","2140","Feminino","93","1","1","147.7"
"Blusa Feminina Angélica","2058","Lançamentos","32","1","1","147.699999"
"Blusa Feminina Núbia","1927","Feminino","120","4","1","147.699998"
"Moletom Feminino Helena","1901","Outlet","46","3","1","135.400002"
"Colar Feminino Choker Cabana","2015","Lançamentos","46","7","1","129.900001"
