"landingPagePlusQueryString","deviceCategory","sessions","engagedSessions","conversions","totalRevenue","ecommercePurchases"
"/","mobile","5821","4891","10905","14617.920006000006","43"
"/femininocabana","mobile","369","249","623","1486.590002","5"
"/calca-feminina-boot-cut-corcel","mobile","291","290","532","489.100005","2"
"/inverno","mobile","136","88","236","327.600002","1"
"/sale-cabana","mobile","127","88","205","1274.589997","4"
"(not set)","mobile","121","4","2","0","0"
"/lancamentos","mobile","93","62","213","244.820001","1"
"/calca","mobile","66","49","112","0","0"
"/checkout/cart","mobile","63","45","94","3277.9400029999997","10"
"/calca-feminina-boot-cut-corcel?inStock=","mobile","54","54","163","791.189995","3"
"/bombacha-feminina-lara","mobile","45","45","69","0","0"
"/cabanaequestrian","mobile","43","25","120","244.550003","1"
"/calca-jeans-feminina-boot-cut-cabana","mobile","42","42","90","0","0"
"/bombacha-feminina-xadrez-joana","mobile","40","40","50","0","0"
"/busca?q=Body","mobile","39","31","67","0","0"
"/vestido-feminino-babado-alice","mobile","36","36","108","0","0"
"/mais-vendidos","mobile","35","23","29","0","0"
"/bombacha-feminina-linho-marrom","mobile","34","34","40","0","0"
"/casaco-feminino-soft-lize","mobile","29","29","51","0","0"
"/verao","mobile","28","16","37","0","0"
"/blusa-feminina-campo-primavera-canelada","mobile","27","27","37","0","0"
"/calca-feminina-boot-cut-paty","mobile","27","27","43","0","0"
"/vestido-/-camisola-feminina-cabana","mobile","27","27","87","134.91","1"
"/vestido-feminio-eliane?inStock=","mobile","24","24","104","254.320002","1"
"/checkout/identify","mobile","23","14","30","885.2600030000001","4"
"/calca-jeans-feminina-boot-cut-morgan","mobile","21","21","34","0","0"
"/busca?q=cal%C3%A7a","mobile","20","15","48","273.320001","1"
"/femininocabana?p=3","mobile","20","3","10","0","0"
"/passador-de-lenco-bridao-cabana","mobile","19","19","22","0","0"
"/calca-feminina-boot-cut-monica","mobile","18","18","21","0","0"
"/calca-feminina-wide-leg-geovanna","mobile","18","16","29","0","0"
"/busca?q=Cal%C3%A7a","mobile","17","12","62","0","0"
"/calca-feminina-montaria-alice","mobile","17","17","33","0","0"
"/calca-jeans-feminina-nobreza-cabana","mobile","17","17","23","0","0"
"/casaco-soft-casaco-fleece","mobile","17","5","10","0","0"
"/jaqueta","mobile","17","11","21","0","0"
"/oculos-cabana-unico","mobile","17","17","24","0","0"
"/acessorios","mobile","16","6","4","0","0"
"/calca-feminina-xadrez-joana","mobile","16","16","20","0","0"
"/colete-feminino-linho-cabana","mobile","16","16","17","0","0"
"/colete-feminino-linho-marrom","mobile","16","16","21","0","0"
"/vestido-/-camisola-feminina-cabana?inStock=","mobile","16","16","42","0","0"
"/vestido-feminino-babado-alice?inStock=","mobile","16","16","53","330.320001","1"
"/vestido-feminino-querencia","mobile","16","16","33","295.55","1"
"/calca-feminina-boot-cut-bridao","mobile","15","15","29","0","0"
"/casaco-feminino-soft-cute-1756","mobile","15","15","23","0","0"
"/blusascabana","mobile","14","7","9","0","0"
"/bombacha-curta-feminina-lia","mobile","14","14","14","0","0"
"/casaco-feminino-soft-maya","mobile","14","14","20","0","0"
"/jaqueta-feminina-bomber-sofia","mobile","14","14","26","0","0"
"/login","mobile","14","8","5","0","0"
"/blusa-feminina-amarracao-laura","mobile","13","13","15","0","0"
"/body-termico-feminino-cabana","mobile","13","13","16","0","0"
"/chemise-feminina-bridao","mobile","13","13","69","785.79","1"
"/jaqueta-feminina-max-onix","mobile","13","13","31","317.699999","1"
"/calca-feminina-skinny-delave-pampa","mobile","12","12","15","0","0"
"/casaco-soft-masculino-ivan","mobile","12","12","28","0","0"
"/vestido-feminino-sophia?inStock=","mobile","12","12","20","0","0"
"/calca-feminina-pezinho-rebeca","mobile","11","11","17","0","0"
"/calca-feminina-skinny-julia","mobile","11","11","26","0","0"
"/calca-montaria-andreza","mobile","11","10","13","0","0"
"/blusa-feminina-amarracao-laura?inStock=","mobile","10","10","20","0","0"
"/calca-boot-cut-feminina-emanuely","mobile","10","9","19","231.929998","1"
"/casaco-feminino-soft-alongado-ayla-2097","mobile","10","10","14","0","0"
"/cinto-cb-cabana-preto-liso","mobile","10","10","10","0","0"
"/regata-modeladora-nubia?inStock=","mobile","10","10","21","0","0"
"/sale-cabana?fbclid=PAVERFWAQyGv1leHRuA2FlbQIxMABzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAad6cZU_uH289f4jknbiljt4vDACFHvJxkU6Avu3wNiDyEHVplD8QLkC_Oi2Ug_aem_aJj-jTmKPP1MAnSFjrhOBQ","mobile","10","0","0","0","0"
"/blazer-feminina-xadrez-joana","mobile","9","9","9","0","0"
"/blusa-feminina-melissa","mobile","9","9","17","0","0"
"/camisete-feminina-gateado","mobile","9","9","12","0","0"
"/camisete-feminina-sandra?inStock=","mobile","9","9","45","732.28","1"
"/casaco-soft-meio-ziper-luna","mobile","9","9","20","0","0"
"/chemise-feminina-bridao?inStock=","mobile","9","9","23","0","0"
"/cropped-feminino-marina?inStock=","mobile","9","9","74","0","0"
"/vestido-feminino-sophia","mobile","9","9","18","0","0"
"/vestido-feminino-tropilha","mobile","9","9","28","0","0"
"/blusa-feminina-by-cabana","mobile","8","8","9","0","0"
"/calca-feminina-boot-cut-corcel?fbclid=PAQ0xDSwQZJ9hleHRuA2FlbQEwAGFkaWQAAAZDKnAr9nNydGMGYXBwX2lkDzEyNDAyNDU3NDI4NzQxNAABp0IpwdKLXgr6jpDEgUWJg8VcaCCPRZaKMFRtBim-Ek0rFOIbeG4tW4TV44NJ_aem_3fwsfEVEC4ptngbA2hkdmw","mobile","8","8","8","0","0"
"/calca-feminina-boot-cut-pandora","mobile","8","8","26","0","0"
"/camisete-feminina-zoe?inStock=","mobile","8","8","18","0","0"
"/chemise-feminina-valente","mobile","8","8","14","0","0"
"/femininocabana?p=2","mobile","8","5","13","0","0"
"/jaqueta-feminina-max-onix?inStock=","mobile","8","8","11","0","0"
"/regata-feminina-modeladora-realeza","mobile","8","8","13","0","0"
"/ruana-feminina-cabana-2109u","mobile","8","8","14","0","0"
"/vestido-feminino-aline","mobile","8","8","63","0","0"
"/vestido-feminino-gabriella","mobile","8","8","61","0","0"
"/vestido-feminino-hanna","mobile","8","8","8","0","0"
"/vestido-feminino-over-bridao","mobile","8","8","45","1180.399998","1"
"/vestido-feminino-realeza","mobile","8","8","19","0","0"
"/vestido-feminino-rosana","mobile","8","8","13","0","0"
"/vestido-feminio-eliane","mobile","8","8","9","0","0"
"/?fbclid=PAYW9leAQb2wFleHRuA2FlbQEwAGFkaWQAAAYr_EC-VnNydGMGYXBwX2lkDzU2NzA2NzM0MzM1MjQyNwABp-wYOTtJIelpxRi1LOENza9TtofkS723wZf5jZvF_U4rcsWeXk9jEw4j4o4D_aem_rRxanZFZG2nN6ZAUjSCvyw","mobile","7","2","1","0","0"
"/?fbclid=PAYW9leAReGjFleHRuA2FlbQEwAGFkaWQAAAZLw3pBJnNydGMGYXBwX2lkDzU2NzA2NzM0MzM1MjQyNwABp7E1hBBmpGPnAD4xbSr0effZllDf9A5TwksHFtGvy19z2bY0ZG9YRd66O6KK_aem_RwZHWFOCRPMfIZtUPLp0sQ","mobile","7","0","0","0","0"
"/blusa-amarracao-grazi?inStock=","mobile","7","7","10","0","0"
"/blusa-feminina-grazi","mobile","7","6","19","0","0"
"/bodycabana","mobile","7","5","9","0","0"
"/busca?q=vestido","mobile","7","2","7","0","0"
"/calca-feminia-wide-leg-cabana-leo","mobile","7","7","10","0","0"
"/calca-feminina-boot-cut-bridao?inStock=","mobile","7","7","22","0","0"
"/calca-skinny-feminina-cabana-basic?inStock=","mobile","7","7","27","0","0"
"/camiseta","mobile","7","6","18","0","0"
"/chemise-feminina-leves-galopes","mobile","7","7","7","0","0"
"/login?redir=https%3A%2F%2Fwww.cabanaequestrian.com.br%2Fcliente%2Fpedidos","mobile","7","2","7","0","0"
"/regata-feminina-neblina","mobile","7","7","19","0","0"
"/vestido-feminino-midi-nubia","mobile","7","7","11","0","0"
"/?fbclid=PAdGRleAQUnO9leHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAacW7MefGp-oKqaRY2R8XesIUEFBwbOTFDvhi9z2I8I8rBJnO6QLNPBRDRis8Q_aem_TMy7gdHm2zLwmi9wRl8gCQ","mobile","6","1","0","0","0"
"/acessorios?fbclid=PAdGRleARgsaBleHRuA2FlbQEwAGFkaWQAAAZOJWOhHnNydGMGYXBwX2lkDzEyNDAyNDU3NDI4NzQxNAABp5qWD_oRqoqTzB7_HyzxkD1ia5K0Xtc0icuS1ZMu6H3Daf2kmccCKrQboPp__aem_151zce0MHEsgmCQ8Y1XGkg","mobile","6","0","0","0","0"
"/blusa-amarracao-feminina-alicia","mobile","6","6","10","0","0"
"/busca?q=Cal%C3%A7a+","mobile","6","5","15","0","0"
"/cabanaequestrian?p=4","mobile","6","1","9","258.929998","1"
"/calca-feminina-boot-cut-amazona","mobile","6","6","28","0","0"
"/casaco-maxi-ted-feminino-rose","mobile","6","6","7","0","0"
"/casaco-ted-feminino-rose","mobile","6","6","7","0","0"
"/cinto-feminino-country-rodeio-unico","mobile","6","6","29","0","0"
"/oculos-cabana-isadora","mobile","6","6","6","0","0"
"/saia-feminina-melissa","mobile","6","6","17","0","0"
"/vestido-feminino-gateado","mobile","6","6","11","0","0"
"/vestido-feminino-victoria","mobile","6","6","7","0","0"
"/?fbclid=PAdGRleAQJl1ZleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAad10jox8iZ-I5AhvAaPrmwcJo8e3cfGbwyPSNyhbbF3G-wIpBXgDv3cbYDD4Q_aem_If7KYwG4r-pD-_mh7WcrgA","mobile","5","0","0","0","0"
"/blazer-feminina-xadrez-joana?inStock=","mobile","5","5","6","0","0"
"/blusa-courino-cabana-black","mobile","5","5","17","0","0"
"/blusa-courino-cabana-off-white","mobile","5","5","5","0","0"
"/blusa-feminina-grazi?inStock=","mobile","5","5","7","0","0"
"/blusa-feminina-melissa?inStock=","mobile","5","5","16","0","0"
"/blusa-feminina-nubia","mobile","5","5","6","0","0"
"/blusa-feminina-reliquia","mobile","5","5","21","0","0"
"/body-feminino-zoe","mobile","5","5","8","0","0"
"/bombacha-feminina-grazi","mobile","5","5","6","0","0"
"/busca?q=Vestido","mobile","5","5","33","0","0"
"/cabanaequestrian?p=2","mobile","5","0","0","0","0"
"/calca-feminina-boot-cut-dani","mobile","5","5","10","0","0"
"/calca-feminina-montaria-cabana","mobile","5","5","9","0","0"
"/calca-feminina-skinny-julia?inStock=","mobile","5","5","33","0","0"
"/camisete","mobile","5","2","8","0","0"
"/camisete-feminina-cabana","mobile","5","5","6","0","0"
"/camisete-feminina-sandra","mobile","5","5","6","0","0"
"/camisete-feminina-zoe","mobile","5","5","10","0","0"
"/casaco-feminino-soft-danubia?inStock=","mobile","5","5","22","0","0"
"/casaco-feminino-soft-luma","mobile","5","5","12","0","0"
"/casaco-maxi-ted-feminino-rose?inStock=","mobile","5","5","12","0","0"
"/casaco-soft-meio-ziper-alana","mobile","5","5","6","0","0"
"/colete-feminina-fronteira","mobile","5","5","5","0","0"
"/colete-feminino-lara","mobile","5","5","5","0","0"
"/colete-xadrez-valentina","mobile","5","4","6","0","0"
"/femininocabana?p=4","mobile","5","0","0","0","0"
"/jaqueta-feminina-max-onix?fbclid=PAVERFWAQk0C1leHRuA2FlbQIxMABzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAacnvfW03m8TxAsXVbmFs2WluYq8lo1jq2sbZ62Fpq0pVRDtjM87aLg0UkNv3g_aem_AIObxkt0ZWEdYUFPMcbgCA","mobile","5","5","5","0","0"
"/login?redir=https%3A%2F%2Fwww.cabanaequestrian.com.br%2Fcliente%2Fpedidos%3FverPedido%3D0012604411948","mobile","5","4","4","0","0"
"/poncho","mobile","5","4","1","0","0"
"/quem-somos","mobile","5","4","15","0","0"
"/regata-feminina-modeladora-zoe","mobile","5","5","8","0","0"
"/regata-modeladora-luna","mobile","5","5","5","0","0"
"/regata-modeladora-nubia","mobile","5","5","10","0","0"
"/saia-feminina-country-franjas","mobile","5","5","7","0","0"
"/saia-feminina-courino-cabana","mobile","5","5","6","0","0"
"/saia-feminina-longa-marina","mobile","5","5","10","0","0"
"/saia-feminina-longa-marina?inStock=","mobile","5","5","64","0","0"
"/semi-joias","mobile","5","5","3","0","0"
"/t-shirt-feminina-alice","mobile","5","5","5","0","0"
"/vestido","mobile","5","4","26","0","0"
"/vestido-feminino-angelica","mobile","5","5","8","0","0"
"/vestido-feminino-modal-lia","mobile","5","3","7","0","0"
"/vestido-feminino-querencia?inStock=","mobile","5","5","5","0","0"
"/vestido-moletom-feminino-rafaela","mobile","5","5","7","0","0"
"/?fbclid=PAYW9leARcb-RleHRuA2FlbQEwAGFkaWQAAAZOJWMqXnNydGMGYXBwX2lkDzU2NzA2NzM0MzM1MjQyNwABp1iBrezqEqi00z8ctzq92uCOfxfpOQSFe3QFvI1a3Owx0j9JLth7xmNmtMjL_aem_0BW9Z1074BoAbc1R6AG_fg","mobile","4","1","0","0","0"
"/?fbclid=PAdGRleARbL2tleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAaexjw0HNHcuQtkJ8BI9_8w4W8j35OK8QKBXm0X2q8weLJ9nBeYJjlweJ5p8LQ_aem_0RiB7vK9nltDuCdWFIkhdg","mobile","4","0","0","0","0"
"/avaliacao?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIwMDEyNjAxNjA4ODkxIiwiZW1haWwiOiJtcm9iZXJ0YS5tdWxsZXJAZ21haWwuY29tIiwiaWF0IjoxNzY4OTEyNjMyLCJleHAiOjE3NzE1OTEwMzIsImNwZkNucGoiOiI3MTEuMTYyLjMwMC0yMCJ9.kVgjxUJGX6-d57Oc9h_9vlbm3gH7-FaaOMInjcELA8A","mobile","4","1","0","0","0"
"/blusa-feminina-tropilha","mobile","4","4","6","0","0"
"/blusa-termica-feminina-cb","mobile","4","4","4","0","0"
"/body-feminino-flicka-paete","mobile","4","3","20","0","0"
"/bolsa-feminina-couro-cabana-unico","mobile","4","4","5","0","0"
"/bolsas","mobile","4","2","0","0","0"
"/busca?q=Blusa","mobile","4","4","18","149.820001","1"
"/busca?q=soft","mobile","4","2","5","0","0"
"/busca?q=vestidos","mobile","4","1","1","0","0"
"/calca-comitiva-boot-cut","mobile","4","3","10","0","0"
"/calca-feminina-boot-cut-corcel?fbclid=PAdGRleAPKdihleHRuA2FlbQEwAGFkaWQAAAYmQQZ6_nNydGMGYXBwX2lkDzEyNDAyNDU3NDI4NzQxNAABp2CKJFyrr3jkGXCPEYPDQm15vYRKYgNh_Q4rHCiFqW9X486P1lY-8JkgFPaz_aem_8C3oZBIpy73dFCjEgOw9GA","mobile","4","4","4","0","0"
"/calca-feminina-boot-cut-corcel?fbclid=PAdGRleAPiGM9leHRuA2FlbQEwAGFkaWQAAAYr_EC-VnNydGMGYXBwX2lkDzEyNDAyNDU3NDI4NzQxNAABp6IKcsvE3y4_0a9fvJ5BaXk_jxXo2nXR-KLQbIibGgeVxtgdlE_IkmwNLsyr_aem_g_P-wtMOm21q1VCWc2OM6Q","mobile","4","4","8","0","0"
"/calca-feminina-boot-cut-corcel?fbclid=PAdGRleAPlg7dleHRuA2FlbQEwAGFkaWQAAAYr_EC-VnNydGMGYXBwX2lkDzEyNDAyNDU3NDI4NzQxNAABp4ECH8D5rA0a7gI8urTVeKNGdhg4HGZigBAOYSevtMA0_14wRTV9jpEJRNXU_aem_kEmcf7ldYkeBJ3r8jVo95w","mobile","4","4","4","0","0"
"/calca-feminina-boot-cut-corcel?fbclid=PAdGRleARSLNhleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAadzs3Rcnfb2OvNLZPZ4erNfJefB4IuRMCFUVNQ3RLNqUy-ccbnBAyeDpUTOmg_aem_76papMMKpT_uiy38ZfImZA","mobile","4","4","4","0","0"
"/calca-feminina-boot-cut-paty?inStock=","mobile","4","4","7","0","0"
"/calca-feminina-wide-leg-geovanna?inStock=","mobile","4","4","10","0","0"
"/calca-jeans-feminina-boot-cut-cabana?fbclid=PAZXh0bgNhZW0BMABhZGlkAAAGK_xAvlZzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAacmRBFliRSRx0uQOScIihoRES2NFGH3VgpDo_k7yqFfsKHHl078EbInruP5ZA_aem_SWIpWAluXmIqa33G9Ml_cg","mobile","4","4","4","0","0"
"/camisa-masculina","mobile","4","2","1","0","0"
"/camisete-feminina-nubia","mobile","4","4","20","258.930001","1"
"/casaco-feminino-soft-clara","mobile","4","4","4","0","0"
"/casaco-feminino-soft-cute-1756?inStock=","mobile","4","4","13","0","0"
"/casaco-soft-meio-ziper-luna?inStock=","mobile","4","4","11","0","0"
"/chemise-feminina-bridao-1944?inStock=","mobile","4","4","5","0","0"
"/chemise-feminina-leves-galopes?inStock=","mobile","4","4","15","0","0"
"/colar-feminino-ellos-cabana-1966","mobile","4","4","4","0","0"
"/cropped-feminino-marina","mobile","4","4","12","0","0"
"/cropped-feminino-texas","mobile","4","4","5","0","0"
"/jaqueta-feminina-softh-cut","mobile","4","4","5","0","0"
"/oculos-cabana-unissex-leo","mobile","4","4","5","0","0"
"/regata","mobile","4","4","14","0","0"
"/saia-feminina-courino-off-white","mobile","4","4","17","0","0"
"/saia-feminina-longa-paula","mobile","4","4","4","0","0"
"/sobretudo-feminino-lize","mobile","4","4","4","0","0"
"/t-shirt-feminina-carolina","mobile","4","4","4","0","0"
"/vestido-cristina","mobile","4","4","5","0","0"
"/vestido-cristina?inStock=","mobile","4","4","5","0","0"
"/vestido-feminino-adriane","mobile","4","4","9","0","0"
"/vestido-feminino-modal-lia-pantone","mobile","4","4","4","0","0"
"/vestido-feminino-suzy?inStock=","mobile","4","4","8","0","0"
"/?fbclid=PAYW9leAQUN_lleHRuA2FlbQEwAGFkaWQAAAYr_EC-VnNydGMGYXBwX2lkDzU2NzA2NzM0MzM1MjQyNwABp7dmAferogiQkD0_HUAKPEUKTkityPv7OcVHbzmMca1-wZtKH_k5fizSqk9E_aem_tVi3PIPqWBEzSzcix6DHDw","mobile","3","1","1","0","0"
"/?fbclid=PAZXh0bgNhZW0BMABhZGlkAAAGK_xAvlZzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAacmVg2bbs13u5jag1hH3csMASv6Ext3yvJ1AkR-caLdgrUNTVIKQ6zg5aCnGQ_aem_ufswx4Xa0RipyQEiIX1jZQ","mobile","3","2","0","0","0"
"/?fbclid=PAZXh0bgNhZW0BMABhZGlkAAAGK_xAvlZzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAad00Kyr6ooHM1IoNr7CQib86GZuDKyMhHGj2lGHLBfjM1uK-QFre0QmItefEw_aem_BnbDdhYtctaETO_x-6_EKg","mobile","3","1","2","0","0"
"/?fbclid=PAZXh0bgNhZW0BMABhZGlkAAAGTiVjKl5zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAacHYZFwKoE2RE3LxE962WQb-j7-bRzmlW5I11AVIiXLsQXncfNPUmjPTVdrXg_aem_BTN7-E3DGe88KT-Tzx52Iw","mobile","3","0","0","0","0"
"/?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPNTY3MDY3MzQzMzUyNDI3AAGnr4wowtSPntjTbB8bkKytXXRvHb2eo-d0eiAMM6G7QLoja4r6Wy3rdubSmVI_aem_DSmy_hm0u_37h2QyGgHY2g","mobile","3","0","0","0","0"
"/?fbclid=PAb21jcAP1waVleHRuA2FlbQEwAGFkaWQAAAYr_EC-VnNydGMGYXBwX2lkDzU2NzA2NzM0MzM1MjQyNwABp31hpXFOqqkLmSXQhHrWmvX8qtVQjZKagQaV-9uCJI-izE_BusBrXZQvjDzd_aem_SRwrpODXT7p0pYlIOozOVQ","mobile","3","2","10","0","0"
"/?fbclid=PAdGRleARYL8lleHRuA2FlbQEwAGFkaWQAAAZOJWMqXnNydGMGYXBwX2lkDzEyNDAyNDU3NDI4NzQxNAABp4OWJaOvJlTcV3iQ3hfGH1ldLeCpbI7Q202MThdh_VblW0gd9zX1l99yvNow_aem_vU63V6CsyECZ8ctptbh2Wg","mobile","3","0","0","0","0"
"/blusa-feminina-emanuely","mobile","3","3","5","0","0"
"/blusa-feminina-zoe","mobile","3","2","2","0","0"
"/body-feminino-grazi?inStock=","mobile","3","3","5","0","0"
"/body-feminino-nubia","mobile","3","3","7","0","0"
"/body-feminino-potros","mobile","3","3","6","0","0"
"/bombacha-feminina-grazi?inStock=","mobile","3","3","8","0","0"
"/bombacha-feminina-xadrez-ana","mobile","3","3","3","0","0"
"/bombacha-feminina-xadrez-valentina","mobile","3","3","3","0","0"
"/busca?q=%C3%B3culos","mobile","3","2","22","0","0"
"/busca?q=Fleece+feminino+","mobile","3","1","0","0","0"
"/busca?q=Flerte","mobile","3","3","0","0","0"
"/busca?q=T-shirt","mobile","3","3","3","0","0"
"/busca?q=camisas","mobile","3","2","13","0","0"
"/busca?q=pulseira","mobile","3","1","7","0","0"
"/busca?q=regata","mobile","3","3","13","0","0"
"/calca-feminina-boot-cut-corcel?fbclid=PAdGRleAPjhd9leHRuA2FlbQEwAGFkaWQAAAYr_EC-VnNydGMGYXBwX2lkDzEyNDAyNDU3NDI4NzQxNAABp0UNnsC3TdypMYS0_Oa06L75bes519rYgeAY6a0weWJWIjRxdbs18ErdLDNU_aem_a7CIqVgzQZeEtDauGwHJVw","mobile","3","3","3","0","0"
"/calca-feminina-boot-cut-corcel?fbclid=PAdGRleAPkkDhleHRuA2FlbQEwAGFkaWQAAAYr_EC-VnNydGMGYXBwX2lkDzEyNDAyNDU3NDI4NzQxNAABp6VQ5NVifsvQv6BXzAnl7hYaaGu3xcYB4EVg_b4Wwybf665bzHfup-0qMSmM_aem_tlnAzECXsWkCgP5g9awMOg","mobile","3","3","3","0","0"
"/calca-feminina-boot-cut-julia","mobile","3","3","3","0","0"
