"sessionDefaultChannelGroup","sessionSourceMedium","deviceCategory","sessions","totalUsers","conversions","totalRevenue","ecommercePurchases"
"Paid Social","meta / cpc","mobile","12399","11457","9327","10022.310003999999","31"
"Organic Social","instagram / perfil","mobile","4811","3797","8713","8797.580001","26"
"Organic Social","facebook.com / referral","desktop","3468","3423","3369","0","0"
"Organic Social","facebook / DPA","desktop","3272","3295","3293","0","0"
"Direct","(direct) / (none)","desktop","2056","1263","4011","489.1","1"
"Direct","(direct) / (none)","mobile","1875","1366","3034","9903.890010000001","30"
"Paid Social","ig / paid","mobile","1609","1510","1198","2188.410003","8"
"Organic Search","google / organic","mobile","1448","866","2866","5241.600011","17"
"Organic Search","google / organic","desktop","762","350","1639","1825.7699989999999","6"
"Organic Shopping","IGShopping / Social","mobile","663","568","1776","3846.62","11"
"Organic Social","facebook / DPA","mobile","421","376","714","727.959999","4"
"Organic Social","m.facebook.com / referral","mobile","321","315","274","447.300001","1"
"Cross-network","google / cpc","mobile","177","132","351","463.599998","2"
"Paid Social","fb / paid","mobile","174","166","248","244.549999","1"
"Unassigned","(not set)","mobile","142","128","246","1178.300001","1"
"Organic Social","l.instagram.com / referral","mobile","135","130","218","0","0"
"Organic Shopping","google / organic","mobile","107","89","170","0","0"
"Paid Social","meta / cpc","desktop","84","83","23","0","0"
"Organic Social","ig / social","mobile","77","59","149","0","0"
"Unassigned","(not set)","desktop","77","76","37","0","0"
"Referral","l.wl.co / referral","mobile","71","35","129","1207.2","5"
"Organic Social","facebook.com / referral","mobile","70","69","28","0","0"
"Cross-network","google / cpc","desktop","66","47","127","0","0"
"Organic Shopping","google / organic","desktop","53","46","75","0","0"
"Organic Social","l.facebook.com / referral","desktop","49","40","59","258.930002","1"
"Organic Social","instagram / perfil","desktop","47","37","44","386.899999","1"
"Organic Social","review.intern.facebook.com / referral","desktop","45","23","49","0","0"
"Organic Social","m.facebook.com / referral","desktop","27","27","10","0","0"
"Organic Search","bing / organic","desktop","16","12","17","0","0"
"Referral","cabanaequestrian.painel.magazord.com.br / referral","desktop","12","3","9","0","0"
"Organic Social","l.facebook.com / referral","mobile","11","10","1","0","0"
"Paid Social","meta / cpc","tablet","11","10","8","0","0"
"Unassigned","chatgpt.com / (not set)","mobile","9","9","18","0","0"
"Organic Social","adsmanager.facebook.com / referral","desktop","8","1","2","0","0"
"Organic Search","br.search.yahoo.com / referral","desktop","7","6","2","0","0"
"Organic Shopping","IGShopping / Social","desktop","7","2","11","0","0"
"Organic Social","instagram / perfil","tablet","6","6","17","0","0"
"Organic Social","instagram.com / referral","mobile","6","6","3","0","0"
"Organic Search","google / organic","tablet","5","5","4","0","0"
"Organic Search","yahoo / organic","desktop","5","1","0","0","0"
"Paid Social","ig / paid","desktop","4","4","1","0","0"
"Referral","chatgpt.com / referral","desktop","4","4","1","0","0"
"Referral","l.wl.co / referral","desktop","4","2","2","0","0"
"Paid Search","google / cpc","desktop","3","3","0","0","0"
"Cross-network","(data not available)","desktop","2","2","1","0","0"
"Cross-network","(data not available)","mobile","2","2","4","0","0"
"Cross-network","google / cpc","tablet","2","2","8","0","0"
"Direct","(direct) / (none)","tablet","2","2","1","0","0"
"Email","magazord / e-mail","mobile","2","2","6","0","0"
"Organic Shopping","google / organic","tablet","2","2","2","0","0"
"Organic Social","ig / social","desktop","2","2","4","0","0"
"Referral","meetime.com.br / referral","desktop","2","1","0","0","0"
"Organic Search","search.google.com / referral","desktop","1","1","0","0","0"
"Organic Social","ig / social","tablet","1","1","1","0","0"
"Organic Social","lm.facebook.com / referral","mobile","1","1","1","0","0"
"Organic Social","tiktok.com / referral","mobile","1","1","3","0","0"
"Paid Search","google / cpc","mobile","1","1","1","0","0"
"Paid Social","ig / paid","tablet","1","1","0","0","0"
"Referral","app.pipe.run / referral","desktop","1","1","0","0","0"
"Referral","chatgpt.com / referral","mobile","1","1","1","0","0"
"Referral","shsupplychain.com / referral","desktop","1","1","0","0","0"
"Unassigned","(not set)","tablet","1","1","1","0","0"
