"pedido_codigo","pedido_id","data_hora","origem","situacao","situacao_descricao","valor_total_pedido","rastreio_id","produto_id","produto_nome","produto_titulo","codigo_pai","derivacao_id","derivacao_codigo","derivacao_nome","categoria_id","categoria","quantidade","valor_unitario","valor_desconto","valor_item","valor_frete","link_produto"
"0012407945457","3766","2024-07-01 15:00:27-03","3","8","Entregue","0","3766","336","Colar Elos Cabana","Colar Elos Cabana","002COLARELOS","1654","002COLARELOS1","Modelo1","29","Semi-Jóias","1","127.7","6.38","121.32","0","colar-elos-cabana-modelo1"
"0012407242207","3767","2024-07-02 10:47:10-03","1","2","Cancelado","135.29","3767","476","Regata Feminina Neblina","Regata Feminina Neblina","1694","2412","1694-P","P","39","Outlet","1","127.7","6.38","121.32","13.97","regata-feminina-neblina"
"0012407411948","3768","2024-07-02 10:55:30-03","1","2","Cancelado","641.64","3768","576","Jaqueta Feminina Maxi Ônix","Jaqueta Feminina Max Ônix","1780","2926","1780M","M","46","Mais Vendidos","1","317.7","15.88","301.82","0","jaqueta-feminina-max-onix"
"0012407411948","3768","2024-07-02 10:55:30-03","1","2","Cancelado","641.64","3768","694","Jaqueta Feminina Bomber Angélica","Jaqueta Feminina Bomber Angélica","1878","3596","1878P","P","39","Outlet","1","357.7","17.88","339.82","0","jaqueta-feminina-bomber-angelica"
"0012407338777","3769","2024-07-02 12:50:58-03","3","8","Entregue","322.01","3769","576","Jaqueta Feminina Maxi Ônix","Jaqueta Feminina Max Ônix","1780","2927","1780G","G","46","Mais Vendidos","1","317.7","16.69","301.01","21","jaqueta-feminina-max-onix"
"0012407792734","3770","2024-07-02 14:49:38-03","3","8","Entregue","0","3770","576","Jaqueta Feminina Maxi Ônix","Jaqueta Feminina Max Ônix","1780","2925","1780P","P","46","Mais Vendidos","1","317.7","317.7","0","0","jaqueta-feminina-max-onix"
"0012407792734","3770","2024-07-02 14:49:38-03","3","8","Entregue","0","3770","301","Poncho Feminino Camila","Poncho Feminino Camila","1546","1473","1546UNICO","Único","39","Outlet","1","199.9","119.97","79.93","0","poncho-feminino-camila"
"0012407565990","3771","2024-07-02 15:33:06-03","3","8","Entregue","0","3771","693","Jaqueta Feminina Bomber Flavia","Jaqueta Feminina Bomber Flavia","1881","3594","1881GG","GG","13","Jaqueta","1","377.7","113.31","264.39","0","jaqueta-feminina-bomber-flavia"
"0012407691329","3772","2024-07-03 15:21:00-03","3","8","Entregue","0","3772","729","Calça Feminina Boot Cut Paty","Calça Feminina Boot Cut Paty","1914","3794","191440","40","8","Calça","1","257.7","0","257.7","0","calca-feminina-boot-cut-paty"
"0012407691329","3772","2024-07-03 15:21:00-03","3","8","Entregue","0","3772","158","Calça Jeans Feminina Boot Cut Cabana","Calça Jeans Feminina Boot Cut Cabana","1186","605","118640","40","46","Mais Vendidos","1","237.7","0","237.7","0","calca-jeans-feminina-boot-cut-cabana"
